序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Paper%20Cover.png
Fig 1,Figure 1. (Color online) Payoff Matrix Examples in a Duopoly,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%201.jpg
Fig 2,Figure 2. Illustration of a Simplified Mobility Market,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%202.jpg
Fig 3,Figure 3. (Color online) DLB Service Operation Area in the  City Center of Chengdu,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%203.jpg
Fig 4,Figure 4. (Color online) System Performance in a Duopoly  Bilevel Game with Nondeficit Constraint,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%204.jpg
Fig 5,"Figure 5. (Color online) System Performance in a Duopoly  Bilevel Game with Maximum Loss of ¥20,000/hour",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%205.jpg
Fig 7,"Figure 7. (Color online) System Performance in a Duopoly  Bilevel Game with Fleet Cap 61,803 for each Operator; No  Budget Constraint in r",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%207.jpg
Fig 10,Figure 10. System Performance Metrics in an Asymmetric Duopoly with Profit-Seeking Operators,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%2010.jpg
Table 1,Table 1. DLB System Performances: Duopoly vs. the Status Quo,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Table%201.jpg
Table 2,Table 2. DLB System Performance in a Monopolistic  Market (Results from Zheng et al. 2023),https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Table%202.jpg
Table 3,Table 3. DLB System Performances When Two Ridership-  Maximizing Operators Have Different Tolerance Levels for  Monetary Loss,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Table%203.jpg
Fig 11,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%2011.jpg
Fig 12,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%2012.jpg
Fig 13,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%2013.jpg
Fig 6,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%206.jpg
Fig 8,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%208.jpg
Fig 9,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1287-slash-trsc.2024.0846/Fig%209.jpg
