序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Paper%20Cover.png
Fig 1,"Fig. 1 | A comparison of the logistics impacts of two business models. Cloud-based truck-hailing services are found to have 
higher operational efficiency than conventional offline vehicle-payload matching practices in China.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Fig%201.png
Fig 2,"Fig. 2 | Load-vehicle and journey-vehicle matching patterns in the national truck-hailing sample. a, distribution of cargo weight 
against vehicle capacity. b, distribution of origin-destination laden distance against vehicle capacity. Distribution of empty 
running distances are not reported in b. Vehicle capacity is divided into bins based on tonnage values. A 45-degree dashed line 
is fitted in a to indicate 100% load-vehicle matching. Boxplots display the median (center line) and interquartile range (box). 
Whiskers represent 1.5 times the interquartile range, and observations falling beyond this threshold are plotted as individual 
outliers.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Fig%202.png
Fig 4,"Fig. 4 | China’s potential medium- and heavy-duty road freight transport decarbonization pathways under all scenarios. 
Projected total road freight transport demand is shown in dashed line (right axis). a, projected CO2 emissions under BaU and 
medium (Med) scenarios. b, projected CO2 emissions under BaU and optimistic (Opt) scenarios. The shadings reflect the near-
term mitigation potential of logistics improvements relative to rapid low-carbon technology adoption.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Fig%204.png
Fig 5,"Fig. 5 | Emission reduction contributions by logistics and technological factors for all scenarios, analyzed using the LMDI 
approach. a, Emission reduction contributions under CPS_BaU scenario. b, Emission reduction contributions under CNS_BaU",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Fig%205.png
Fig 6,"Fig. 6 | Cumulative emission reduction contributions by logistics and technological factors when compared against the baseline 
CPS_BaU scenario, analyzed using the LMDI approach. a and b compare the CNS_Linear_Med scenario against the baseline. c",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Fig%206.png
Fig 7,"Fig. 7 | A comparison of total emissions against counterfactual scenarios where ZEVs are assumed to have no operational 
performance penalties (range and capacity). NP_CPS_BaU, NP_CPS_Linear, NP_CPS_S-shape, NP_CNS_BaU, NP_CNS_Linear, 
and NP_CNS_S-shape are counterfactual scenarios of CPS_BaU, CPS_Linear, CPS_S-shape, CNS_BaU, CNS_Linear, and CNS_S-
shape, respectively in the main analysis, assuming no penalty (NP) in ZEV’s operational performance. a, projected CO2 
emissions under BaU and medium (Med) scenarios. b, projected CO2 emissions under BaU and optimistic (Opt) scenarios.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Fig%207.png
Table 1,"Table 1 shows the proportion of vehicle empty running mileages for both intra- and inter-province journeys within the  sample. So far, research on truck travel behavior concerning empty mileage in China remains very limited. One commonly cited  figure places this at approximately 40%11,52,40,59. For comparative purposes, we also present estimates derived from China’s  2014 tolled expressway statistics60 (see Supplementary Note 2 for more discussion on the comparison). Two observations  emerge from Table 1. First, inter-province trips consistently exhibit lower percentages of empty miles compared to intra- province journeys. This disparity is likely due to the high opportunity costs associated with empty running during long-distance  multi-province travel. Second, while the expressway data indicates that HFTs have less empty running than MFTs, the truck- hailing sample shows virtually no differences between these vehicle groups. This could be attributed to route optimization  inherent in truck-hailing services.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Table%201.png
Table 2,"Table 2 presents the vehicle load factor observed within our sample. Data regarding China’s truck load factor are  scarce. For comparison analysis, we include estimates derived from mean vehicle loads reported for various vehicle types in  China’s 2010 tolled expressway statistics, the last year such data was publicly available63. In the truck-hailing sample, the load  factor for MFTs and HFTs are remarkably similar, both approaching 90%. This consistency reflects the efficient load-vehicle  matching process. On the other hand, while HFTs exhibit comparable load factor across both datasets, MFTs again  underperform HFTs in the expressway data. It is important to note, however, that the load factor values extrapolated from  expressway statistics may overestimate average utilization and again are more likely to reflect the capacity utilization among  vehicles engaged in contract logistics. This potential overestimation stems from the same factor that discourages empty  running: high toll charges disincentivize inefficient use of vehicle capacity and discourage low-margin trips by owner-operators.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Table%202.png
Table 1,Table 1 Comparison of percentages of empty running across vehicle types and duty cycles.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Table%201.png
Table 2,Table 2 Comparison of load factor (capacity utilization) across vehicle types.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Table%202.png
Table 3,Table 3 Comparison of daily VKT across vehicle types.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s41467-026-71160-1/Table%203.png
